ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
344.7047119,41.2029457,6.168,-5.29,8.358,425.0,60.8,-8.17,4.82,0.0
344.6809998,41.1973343,5.099,-5.627,8.227,621.9,64.3,-109.61,3.38,0.0
344.672821,41.1971664,4.73,-5.637,8.128,804.3,68.0,-3.13,3.34,0.0
344.664093,41.1913605,4.337,-5.985,8.489,214.8,54.7,-36.91,5.63,0.0
344.6602173,41.189724,4.162,-6.083,8.598,322.1,58.5,-19.9,4.97,0.0
344.6203613,41.2039719,2.365,-5.228,7.42,408.6,54.8,-150.7,4.05,0.01
344.6148376,41.2026405,2.116,-5.308,7.585,341.1,56.4,-33.05,4.19,0.0
344.670929,41.2325554,4.645,-3.513,5.892,511.1,54.0,-32.86,3.43,0.0
344.6639099,41.2164993,4.328,-4.477,6.644,521.9,57.5,-99.11,3.28,0.0
344.6639099,41.2431374,4.328,-2.878,5.209,279.1,50.5,-195.36,4.12,1.0
344.6549988,41.2357216,3.927,-3.323,5.28,382.8,47.7,-186.15,3.51,0.99
344.6503601,41.2500572,3.717,-2.463,4.468,127.4,42.0,-185.56,6.56,0.99
344.6433411,41.22575,3.401,-3.922,5.686,629.3,54.0,-179.53,3.12,0.96
344.6423035,41.2650833,3.354,-1.562,3.742,256.7,48.1,-89.84,4.57,0.0
344.6401978,41.2258339,3.259,-3.917,5.641,449.3,52.5,-82.51,3.59,0.0
344.6263733,41.277832,2.636,-0.797,2.92,448.3,58.6,-201.28,3.35,1.0
344.6246948,41.2512207,2.56,-2.393,3.661,768.4,62.1,-197.51,2.92,1.0
344.6237488,41.2692223,2.518,-1.313,2.85,364.7,48.0,-105.78,3.87,0.0
344.6179199,41.2789459,2.255,-0.73,2.493,428.7,61.3,-193.96,3.69,1.0
344.6178284,41.2739449,2.251,-1.03,2.507,352.6,51.2,-174.09,4.42,0.87
344.6152649,41.2493324,2.135,-2.507,3.623,289.2,51.0,-198.34,4.36,1.0
344.6125488,41.2845268,2.013,-0.395,2.285,263.4,55.6,-196.47,4.9,1.0
344.6112061,41.2393341,1.952,-3.107,4.378,357.5,51.5,-209.51,3.79,1.0
344.6080017,41.2692223,1.808,-1.313,2.252,508.9,56.5,-206.14,3.31,1.0
344.6067505,41.2875824,1.751,-0.212,2.047,432.6,55.1,-207.31,3.53,1.0
344.5989075,41.2610817,1.398,-1.802,2.572,348.4,51.6,-193.79,3.91,1.0
344.5989685,41.2704163,1.401,-1.242,1.936,467.1,56.4,-203.3,3.44,1.0
344.5986328,41.2739449,1.385,-1.03,1.744,408.0,52.7,-183.41,3.54,0.98
344.5986633,41.2956963,1.387,0.275,1.968,394.0,60.7,-201.51,3.94,1.0
344.598114,41.2316399,1.362,-3.568,5.112,278.3,48.3,-176.14,3.97,0.91
344.5979309,41.2457504,1.354,-2.722,3.847,232.2,48.0,-192.54,4.62,1.0
344.5860291,41.2659721,0.817,-1.508,2.127,443.9,56.5,-195.42,3.44,1.0
344.5768738,41.2364426,0.404,-3.28,5.0,335.5,53.8,-96.73,4.01,0.0
344.5750427,41.2773895,0.322,-0.823,1.178,313.5,52.7,-195.91,4.47,1.0
344.5742798,41.2684174,0.288,-1.362,2.023,294.9,47.3,-197.82,4.12,1.0
344.5732117,41.2784462,0.239,-0.76,1.102,335.9,55.1,-215.39,3.94,1.0
344.5711365,41.2888603,0.146,-0.135,0.207,117.7,44.7,-206.18,7.87,1.0
344.5709534,41.2519455,0.138,-2.35,3.659,374.9,52.4,-202.11,3.54,1.0
344.5704651,41.2815285,0.116,-0.575,0.857,198.4,48.9,-180.34,6.1,0.96
344.5661621,41.30336,-0.078,0.735,1.126,552.4,92.0,-193.6,3.62,1.0
344.5652466,41.2620544,-0.12,-1.743,2.843,232.7,46.8,-213.17,4.62,1.0
344.5653381,41.2971649,-0.116,0.363,0.526,449.6,56.7,-197.32,3.62,1.0
344.5628662,41.2748871,-0.227,-0.973,1.697,506.9,54.9,-196.35,3.46,1.0
344.559906,41.2429161,-0.36,-2.892,4.821,230.7,45.3,-204.28,4.74,1.0
344.5576782,41.2956123,-0.461,0.27,0.534,317.7,55.1,-189.65,4.17,0.99
344.5572815,41.274971,-0.479,-0.968,1.891,369.9,48.8,-193.06,3.85,1.0
344.5569458,41.2984161,-0.494,0.438,0.683,464.8,57.4,-207.8,3.83,1.0
344.5552368,41.2593613,-0.571,-1.905,3.416,385.5,49.1,-205.76,2.88,1.0
344.5523376,41.3134995,-0.702,1.343,1.896,348.3,58.8,-197.96,4.16,1.0
344.5505066,41.3169708,-0.784,1.552,2.192,402.4,63.3,-210.2,3.17,1.0
344.5503845,41.2951393,-0.79,0.242,0.875,509.5,50.4,-211.7,3.2,1.0
344.5481567,41.3010826,-0.89,0.598,1.075,362.5,53.3,-188.69,4.11,0.99
344.5448608,41.3070564,-1.039,0.957,1.471,400.2,59.8,-194.4,4.06,1.0
344.5437012,41.292778,-1.091,0.1,1.293,483.2,50.5,-189.72,2.74,0.99
344.5435486,41.3180847,-1.098,1.618,2.286,346.4,57.6,-216.13,3.29,0.99
344.5391541,41.3093605,-1.296,1.095,1.741,250.7,50.3,-199.85,4.79,1.0
344.536377,41.3207779,-1.421,1.78,2.549,190.6,52.5,-198.39,7.01,1.0
344.5328369,41.2856941,-1.581,-0.325,2.255,325.7,48.7,-183.52,3.96,0.98
344.5275269,41.3273315,-1.82,2.173,3.133,425.3,53.8,-203.46,3.92,1.0
344.526886,41.2686386,-1.849,-1.348,3.804,361.4,50.2,-215.07,2.95,1.0
344.5222778,41.2995567,-2.057,0.507,2.302,435.4,55.0,-206.89,3.66,1.0
344.5178223,41.2892494,-2.258,-0.112,2.898,256.9,47.8,-184.25,4.5,0.98
344.515625,41.3298874,-2.357,2.327,3.498,382.5,61.6,-206.28,4.72,1.0
344.513031,41.2943344,-2.474,0.193,2.951,320.6,49.1,-213.03,3.07,1.0
344.51297,41.2732506,-2.476,-1.072,4.157,301.0,48.2,-185.22,3.22,0.99
344.5083618,41.3003349,-2.684,0.553,3.037,319.5,48.8,-218.76,4.08,0.99
344.5057373,41.3107796,-2.802,1.18,3.104,325.4,54.3,-198.89,4.23,1.0
344.5057373,41.3238068,-2.802,1.962,3.438,277.7,50.0,-189.22,4.64,0.99
344.505127,41.312973,-2.83,1.312,3.156,584.7,56.1,-53.05,3.45,0.0
344.5020142,41.2863045,-2.97,-0.288,3.933,664.4,53.8,-205.95,3.13,1.0
344.5010681,41.329277,-3.013,2.29,3.831,432.9,54.5,-195.06,3.7,1.0
344.5009155,41.3395271,-3.02,2.905,4.402,431.9,59.4,-177.47,4.1,0.93
344.4960327,41.2926941,-3.24,0.095,3.968,232.5,44.3,-196.85,4.51,1.0
344.4908447,41.3238335,-3.474,1.963,3.993,205.7,47.2,-199.2,5.39,1.0
344.4907227,41.3085823,-3.479,1.048,3.855,317.4,50.5,-171.15,3.8,0.78
344.4897766,41.3417206,-3.522,3.037,4.787,427.9,51.9,-189.82,4.03,0.99
344.4885864,41.3101387,-3.576,1.142,3.954,484.9,54.3,-209.11,6.48,1.0
344.4864197,41.2836952,-3.673,-0.445,4.943,239.3,42.8,-202.55,4.55,1.0
344.480011,41.3401108,-3.962,2.94,4.982,251.5,48.1,-184.89,4.64,0.99
344.4788818,41.3252487,-4.013,2.048,4.528,400.0,46.8,-218.92,3.46,0.99
344.4754028,41.3481674,-4.17,3.423,5.513,125.7,45.5,-197.83,8.0,1.0
344.4720764,41.2968063,-4.32,0.342,5.151,155.9,41.9,-191.84,7.7,1.0
344.4648743,41.3496399,-4.645,3.512,5.891,253.7,46.1,-180.47,5.92,0.96
344.4646606,41.3421936,-4.654,3.065,5.583,264.0,45.5,-195.54,4.67,1.0
344.4622498,41.3571129,-4.763,3.96,6.341,476.3,58.7,-186.44,3.7,0.99
344.4539185,41.3106956,-5.139,1.175,5.777,399.9,48.3,-191.24,3.51,1.0
344.4416199,41.3623352,-5.693,4.273,7.196,211.8,45.6,-63.36,9.36,0.0
344.4388428,41.3513069,-5.818,3.612,6.85,101.5,41.4,-187.01,8.07,0.99
344.4356384,41.326416,-5.963,2.118,6.581,201.3,43.6,-196.83,5.56,1.0
344.4308777,41.3034172,-6.177,0.738,7.225,261.7,41.5,-132.59,4.69,0.0
344.4259033,41.3502235,-6.402,3.547,7.328,373.8,46.9,-50.16,4.88,0.0
344.4213867,41.3517494,-6.605,3.638,7.552,612.7,54.8,-34.83,3.29,0.0
344.4185486,41.3181381,-6.733,1.622,7.546,380.8,51.2,-217.45,3.68,0.99
344.4165344,41.3190269,-6.824,1.675,7.639,192.9,46.4,-207.62,5.84,1.0
344.4081726,41.299221,-7.201,0.487,8.637,565.1,55.9,-27.24,3.61,0.0
344.6997986,41.2482224,5.946,-2.573,6.596,556.5,72.0,-193.45,3.49,1.0
344.6837158,41.2350273,5.221,-3.365,6.218,261.1,52.3,-204.86,4.5,1.0
344.5204163,41.2036667,-2.141,-5.247,9.862,252.4,50.1,-142.27,6.2,0.0
344.490387,41.2047768,-3.495,-5.18,10.952,332.2,55.6,-91.6,4.75,0.0
344.488678,41.1946945,-3.572,-5.785,11.927,404.6,58.0,-119.39,4.29,0.0
344.4671936,41.188221,-4.54,-6.173,13.405,395.9,65.1,-78.51,5.06,0.0
344.4651794,41.1913605,-4.631,-5.985,13.214,555.1,67.8,-106.86,4.25,0.0
344.4642944,41.1936951,-4.671,-5.845,13.048,430.9,71.3,-43.06,4.71,0.0
344.4519653,41.2029724,-5.227,-5.288,12.796,268.6,66.9,-85.16,5.82,0.0
344.6567078,41.4075012,4.004,6.983,14.12,475.6,50.2,-104.66,4.46,0.0
344.6480103,41.3985825,3.611,6.448,12.962,316.6,55.3,-132.65,5.05,0.0
344.6438293,41.3672485,3.423,4.568,9.98,250.5,53.5,-79.91,5.39,0.0
344.632843,41.4096375,2.928,7.112,13.39,268.9,60.8,-110.69,5.57,0.0
344.6321716,41.3993073,2.897,6.492,12.41,182.3,56.1,-127.01,7.85,0.0
344.6242371,41.321167,2.54,1.803,5.16,328.5,60.3,-197.67,4.94,1.0
344.6155701,41.3080826,2.149,1.018,3.715,364.1,62.6,-199.69,4.77,1.0
344.6073608,41.3217239,1.779,1.837,4.408,269.0,58.2,-221.55,5.43,0.99
344.6050415,41.2996941,1.674,0.515,2.569,388.7,68.0,-190.62,4.52,1.0
344.6027222,41.3024178,1.57,0.678,2.634,151.1,74.7,-185.73,9.16,0.99
344.6024475,41.3547783,1.557,3.82,7.18,196.7,50.1,-207.1,6.53,1.0
344.5972595,41.2896652,1.324,-0.087,1.589,322.2,66.3,-192.92,4.87,1.0
344.5950928,41.2889442,1.226,-0.13,1.443,183.1,56.3,-208.09,6.4,1.0
344.5953674,41.3415565,1.238,3.027,5.692,266.2,51.1,-219.95,4.85,0.99
344.5889893,41.3750267,0.951,5.035,8.616,340.2,52.7,-40.14,4.62,0.0
344.5889893,41.4041939,0.951,6.785,11.382,259.2,68.8,-122.58,6.37,0.0
344.581543,41.3048897,0.615,0.827,1.802,376.4,62.5,-190.66,4.47,1.0
344.5819702,41.3714981,0.634,4.823,8.063,227.3,49.9,-78.92,5.89,0.0
344.5809631,41.3902779,0.589,5.95,9.819,462.3,58.0,-45.86,4.41,0.0
344.5798645,41.3269157,0.539,2.148,3.773,337.3,56.0,-187.73,4.78,0.99
344.578949,41.3750839,0.498,5.038,8.314,363.1,57.4,-192.76,4.37,1.0
344.5779114,41.3450851,0.451,3.238,5.431,301.7,52.2,-170.89,4.8,0.77
344.5769958,41.35989,0.41,4.127,6.811,529.1,59.3,-21.74,4.43,0.0
344.5756531,41.2695541,0.349,-1.293,1.894,391.0,63.8,-196.62,4.62,1.0
344.5758362,41.3311386,0.358,2.402,4.043,261.1,48.4,-209.51,5.03,1.0
344.5727234,41.3351402,0.217,2.642,4.331,253.5,57.2,-202.46,4.93,1.0
344.5725098,41.3218346,0.208,1.843,3.059,265.1,60.6,-174.92,5.39,0.89
344.5692444,41.2975845,0.061,0.388,0.656,205.6,52.3,-201.64,6.39,1.0
344.5658875,41.3878593,-0.091,5.805,9.175,178.1,54.3,-204.03,6.54,1.0
344.5650024,41.269249,-0.131,-1.312,2.165,247.3,53.7,-202.75,5.34,1.0
344.5646362,41.2906952,-0.147,-0.025,0.205,233.8,48.6,-205.98,5.4,1.0
344.5644226,41.2729454,-0.157,-1.09,1.831,176.0,58.8,-186.95,7.51,0.99
344.5593262,41.2556953,-0.387,-2.125,3.626,281.4,59.7,-215.45,4.61,1.0
344.5583191,41.2421684,-0.432,-2.937,4.94,366.9,53.5,-207.67,4.52,1.0
344.5572205,41.3264427,-0.482,2.12,3.137,304.3,58.6,-202.49,4.9,1.0
344.5564575,41.2610283,-0.516,-1.805,3.218,252.1,56.7,-213.14,5.14,1.0
344.5551147,41.3256683,-0.576,2.073,3.031,421.3,63.9,-200.83,4.36,1.0
344.5543823,41.3026123,-0.609,0.69,1.004,244.6,55.4,-195.6,5.81,1.0
344.5527954,41.3482513,-0.681,3.428,5.112,173.6,51.6,-196.03,6.86,1.0
344.552002,41.2480545,-0.717,-2.583,4.589,264.1,50.3,-213.16,4.83,1.0
344.5513,41.2680016,-0.748,-1.387,2.762,301.9,56.7,-206.87,4.6,1.0
344.5467834,41.226944,-0.952,-3.85,6.752,385.6,71.7,-200.23,4.53,1.0
344.5443726,41.2400818,-1.061,-3.062,5.603,531.9,56.7,-115.28,4.14,0.0
344.5426331,41.3386955,-1.139,2.855,4.079,395.6,67.1,-186.25,4.37,0.99
344.5418701,41.2897491,-1.174,-0.082,1.526,752.0,74.6,-195.4,4.13,1.0
344.5416565,41.2769432,-1.183,-0.85,2.417,224.1,55.7,-213.27,5.45,1.0
344.5400696,41.3180008,-1.255,1.613,2.303,358.2,57.1,-96.04,4.7,0.0
344.5395813,41.2592773,-1.277,-1.91,4.027,217.9,55.8,-173.33,5.63,0.85
344.5395508,41.2928047,-1.278,0.102,1.524,325.9,54.9,-182.07,4.92,0.97
344.5394897,41.2984161,-1.281,0.438,1.414,212.4,57.3,-209.19,6.18,1.0
344.5327454,41.2998352,-1.585,0.523,1.751,314.5,59.0,-195.06,4.79,1.0
344.528595,41.3052788,-1.772,0.85,1.983,278.1,58.5,-192.76,5.45,1.0
344.517334,41.2567482,-2.28,-2.062,5.237,490.9,52.3,-206.89,3.94,1.0
344.5139465,41.2243042,-2.432,-4.008,8.226,276.7,48.8,-11.59,5.06,0.0
344.5126648,41.2882767,-2.49,-0.17,3.236,414.3,63.8,-186.64,4.56,0.99
344.5109253,41.2684174,-2.569,-1.362,4.619,307.2,60.9,-208.43,4.58,1.0
344.5096741,41.2155838,-2.625,-4.532,9.187,489.7,56.6,-123.68,4.11,0.0
344.499176,41.2582512,-3.098,-1.972,5.993,275.2,48.1,-195.77,4.76,1.0
344.4934082,41.277916,-3.358,-0.792,4.895,222.1,59.8,-190.77,5.73,1.0
344.4882202,41.2512207,-3.592,-2.393,7.09,270.7,57.1,-222.08,4.97,0.98
344.48703,41.2421684,-3.646,-2.937,7.877,395.8,57.2,-58.43,4.23,0.0
344.4811707,41.2748871,-3.91,-0.973,5.753,241.3,56.9,-206.85,6.08,1.0
344.4790955,41.2618904,-4.004,-1.753,6.746,372.6,61.4,-199.93,4.62,1.0
344.4527893,41.2385826,-5.189,-3.152,9.843,203.2,54.1,-125.36,6.38,0.0
344.4499207,41.2305565,-5.319,-3.633,10.616,666.0,72.0,-58.59,4.21,0.0
